country,state,county,lat,lng,type,beds,population,year
SK,,,48.67,19.5,PSYCHIATRIC,0.81,5439232,2017
SK,,,48.67,19.5,TOTAL,5.82,5439232,2017
SI,,,46,15,ACUTE,4.2,2066388,2017
SI,,,46,15,PSYCHIATRIC,0.66,2066388,2017
SI,,,46,15,TOTAL,4.5,2066388,2017
SE,,,62,15,ACUTE,2.04,10057698,2017
SE,,,62,15,PSYCHIATRIC,0.43,10057698,2017
SE,,,62,15,TOTAL,2.22,10057698,2017
TR,,,39,35,ACUTE,2.78,81101892,2017
TR,,,39,35,PSYCHIATRIC,0.05,81101892,2017
TR,,,39,35,TOTAL,2.81,81101892,2017
US,,,38,-97,ACUTE,2.44,322941311,2016
US,,,38,-97,PSYCHIATRIC,0.21,322941311,2016
US,,,38,-97,TOTAL,2.77,322941311,2016
ZA,,,-29,24,TOTAL,2.32,51216964,2010
